Sentence,Mood
I am feeling happy today,1
It's a beautiful day outside,1
I am so sad that I can't go out,0
I am feeling down and blue,0
This is the best day of my life,1
I love spending time with my friends,1
I miss my family so much,0
Watching a sunset always makes me happy,1
I feel so alone sometimes,0
I just got a promotion at work,1
I am grateful for all the good things in my life,1
I am so excited for my upcoming vacation,1
I am feeling overwhelmed by all the work I have to do,0
I am so proud of my children,1
I am feeling so tired today,0
I am feeling so grateful for my health,1
I am feeling so anxious about my upcoming presentation,0
I am feeling so blessed to have such wonderful friends,1
I am feeling so frustrated with my job right now,0
I am feeling so lonely without my partner,0
I am so happy to be spending time with my family,1
I am feeling so stressed about my finances,0
I am feeling so grateful for the support of my friends and family,1
I am feeling so overwhelmed with all the things I have to do,0
I am feeling so lucky to have such a wonderful partner,1
I am feeling so sad about the loss of my pet,0
I am feeling so grateful for the opportunities in my life,1
I am feeling so tired of all the drama in my life,0
I am feeling so happy with my new haircut,1
I am feeling so anxious about my health,0
I am feeling so grateful for my job,1
I am feeling so frustrated with my partner,0
I am feeling so lonely without my friends,0
I am so happy to have found a new hobby,1
I am feeling so stressed about my upcoming deadline,0
I am feeling so grateful for my education,1
I am feeling so overwhelmed by all the changes in my life,0
I am feeling so lucky to have such a supportive family,1
I am feeling so sad about the end of my favorite TV show,0
I am feeling so grateful for my home,1
I am feeling so tired of all the negativity in the news,0
I am feeling so happy to have met my soulmate,1
I am feeling so anxious about my future,0
I am feeling so grateful for my health and wellbeing,1
I am feeling so frustrated with my coworkers,0
I am feeling so lonely without my pets,0
I am so happy to have achieved my goals,1
I am feeling so stressed about my relationship,0
I am feeling so grateful for my community,1
I am feeling so overwhelmed by all the responsibilities in my life,0
I am feeling so lucky to have a stable job,1
I am feeling so sad about the loss of a loved one,0
I am feeling so grateful for my talents and abilities,1
I am feeling so tired of all the negativity on social media,0
I am feeling so happy to have a supportive partner,1
I am feeling so anxious about my finances,0
I am feeling so grateful for my family's love and support,1
I am feeling so frustrated with my health issues,0
I am feeling so lonely without my significant other,0
I am so happy to have a fulfilling career,1
I am feeling so stressed about my workload,0
I am feeling so grateful for my friends' loyalty,1
I am feeling so overwhelmed by my emotions,0
I am feeling so lucky to have a comfortable home,1
I am feeling so sad about the state of the world,0
I am feeling so grateful for my partner's love and affection,1
I am feeling so anxious about my job security,0
I am feeling so grateful for my personal growth,1
I am feeling so frustrated with my lack of progress,0
I am feeling so lonely without my coworkers,0
I am so happy to have a healthy work-life balance,1
I am feeling so stressed about my health condition,0
I am feeling so grateful for my financial stability,1
I am feeling so overwhelmed by my responsibilities,0
I am feeling so lucky to have a supportive community,1
I am feeling so sad about the loss of a friendship,0
I am feeling so grateful for my hobbies and interests,1
I am feeling so tired of all the negativity in the world,0
I am feeling so happy to have a loving family,1
I am feeling so anxious about my personal relationships,0
I am feeling so grateful for my mental and emotional health,1
I am feeling so frustrated with my lack of motivation,0
I am feeling so lonely without my family,0
I am so happy to have a fulfilling social life,1
I am feeling so stressed about my career prospects,0
I am feeling so grateful for my personal achievements,1
I am feeling so overwhelmed by my thoughts,0
I am feeling so lucky to have a comfortable lifestyle,1
I am feeling so sad about the state of the environment,0
I am feeling so grateful for my partner's understanding,1
I am feeling so anxious about my future plans,0
I am feeling so grateful for my personal relationships,1
I am feeling so frustrated with my lack of direction,0
I am feeling so lonely without my friends and family,0
I am so happy to have a loving partner,1
I am feeling so stressed about my financial situation,0
I am feeling so grateful for my personal experiences,1
I am feeling so overwhelmed by my insecurities,0
I am feeling so lucky to have a supportive partner,1
I am feeling so sad about the loss of a family member,0
I am feeling so grateful for my personal values,1
I am feeling so tired of all the negativity in the media,0
I am feeling so happy to have a fulfilling career,1
I am feeling so anxious about my personal growth,0
I am feeling so grateful for my personal support system,1
I am feeling so frustrated with my lack of progress,0
I am feeling so lonely without my significant other,0
I am so happy to have a healthy work-life balance,1
I am feeling so stressed about my health condition,0
I am feeling so grateful for my financial stability,1
I am feeling so overwhelmed by my responsibilities,0
I am feeling so lucky to have a supportive community,1
I am feeling so sad about the loss of a friendship,0
I am feeling so grateful for my hobbies and interests,1
I am feeling so tired of all the negativity in the world,0
I am feeling so happy to have a loving family,1
I am feeling so anxious about my personal relationships,0
I am feeling so grateful for my mental and emotional health,1
I am feeling so frustrated with my lack of motivation,0
I am feeling so lonely without my family,0
I am so happy to have a fulfilling social life,1
I am feeling so stressed about my career prospects,0
I am feeling so grateful for my personal achievements,1
I am feeling so overwhelmed by my thoughts,0
I am feeling so lucky to have a comfortable lifestyle,1
I am feeling so sad about the state of the environment,0
I am feeling so grateful for my partner's understanding,1
I am feeling so anxious about my future plans,0
I am feeling so grateful for my personal relationships,1
I am feeling so frustrated with my lack of direction,0
I am feeling so lonely without my friends and family,0
I am so happy to have a loving partner,1
I am feeling so stressed about my financial situation,0
I am feeling so grateful for my personal experiences,1
I am feeling so overwhelmed by my insecurities,0
I am feeling so lucky to have a supportive partner,1
I am feeling so sad about the loss of a family member,0
I am feeling so grateful for my personal values,1
I am feeling so tired of all the negativity in the media,0
I am feeling so happy to have a fulfilling career,1
I am feeling so anxious about my personal growth,0
I am feeling so grateful for my personal support system,1
I am feeling so frustrated with my lack of progress,0
I am feeling so lonely without my significant other,0
I am so happy to have a healthy work-life balance,1
I am feeling so stressed about my health condition,0
I am feeling so grateful for my financial stability,1
I am feeling so overwhelmed by my responsibilities,0
I am feeling so lucky to have a supportive community,1
I am feeling so sad about the loss of a friendship,0
I am feeling so grateful for my hobbies and interests,1
I am feeling so tired of all the negativity in the world,0
I am feeling so happy to have a loving family,1
I am feeling so anxious about my personal relationships,0
I am feeling so grateful for my mental and emotional health,1
I am feeling so frustrated with my lack of motivation,0
I am feeling so lonely without my family,0
I am so happy to have a fulfilling social life,1
I am feeling so stressed about my career prospects,0
I am feeling so grateful for my personal achievements,1
I am feeling so overwhelmed by my thoughts,0
I am feeling so lucky to have a comfortable lifestyle,1
I am feeling so sad about the state of the environment,0
I am feeling so grateful for my partner's understanding,1
I am feeling so anxious about my future plans,0
I am feeling so grateful for my personal relationships,1
I am feeling so frustrated with my lack of direction,0
I am feeling so lonely without my friends and family,0
I am so happy to have a loving partner,1
I am feeling so stressed about my financial situation,0
I am feeling so grateful for my personal experiences,1
I am feeling so overwhelmed by my insecurities,0
I am feeling so lucky to have a supportive partner,1
I am feeling so sad about the loss of a family member,0
I am feeling so grateful for my personal values,1
I am feeling so tired of all the negativity in the media,0
I am feeling so happy to have a fulfilling career,1
I am feeling so anxious about my personal growth,0
I am feeling so grateful for my personal support system,1
I am feeling so frustrated with my lack of progress,0
I am feeling so lonely without my significant other,0
I am so happy to have a healthy work-life balance,1
I am feeling so stressed about my health condition,0
I am feeling so grateful for my financial stability,1
I am feeling so overwhelmed by my responsibilities,0
I am feeling so lucky to have a supportive community,1
I am feeling so sad about the loss of a friendship,0
I am feeling so grateful for my hobbies and interests,1
I am feeling so tired of all the negativity in the world,0
I am feeling so happy to have a loving family,1
I am feeling so anxious about my personal relationships,0
